Age,Data Source,Destination,Disability,Education Level,Grade,Immigration Status,Indicator,Origin,Reference Area,Residence,School Subject ,Sex,Socioeconomic Background,State or Province,Time Period,Type Of Institution,Unit Measure,Wealth Quintile,Obs Value
Total,UIS,Total,Total,Lower secondary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,104.85226
Total,UIS,Total,Total,Lower secondary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,103.38417
Total,UIS,Total,Total,Lower secondary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,103.40846
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,98.3296182
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,98.55
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,98.78230536
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,98.81310272
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,98.86367035
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,98.71274272
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,98.66
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,98.9879788
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,98.97380829
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,98.98222351
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,97.96419678
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,98.43
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,98.58526483
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,98.65811157
