Entity,Code,Year,"Primary completion rate, gender parity index (GPI)"
Afghanistan,AFG,1974,0.153280005
Afghanistan,AFG,1977,0.185310006
Afghanistan,AFG,1978,0.196439996
Afghanistan,AFG,1980,0.211219996
Afghanistan,AFG,1981,0.249070004
Afghanistan,AFG,1982,0.425159991
Afghanistan,AFG,1984,0.437790006
Afghanistan,AFG,1985,0.422239989
Afghanistan,AFG,1993,0.352919996
Albania,ALB,1996,1.001360059
Albania,ALB,2000,1.006929994
Albania,ALB,2001,1.003589988
Albania,ALB,2003,1.002689958
Albania,ALB,2004,1.000920057
Albania,ALB,2007,1.011989951
Albania,ALB,2008,0.99368
Albania,ALB,2009,0.992150009
Albania,ALB,2010,0.972119987
Albania,ALB,2011,0.991760015
Albania,ALB,2012,0.982439995
Albania,ALB,2013,0.942579985
Albania,ALB,2014,0.999890029
Algeria,DZA,1972,0.564440012
Algeria,DZA,1973,0.583809972
Algeria,DZA,1974,0.574150026
Algeria,DZA,1975,0.608900011
Algeria,DZA,1976,0.630360007
Algeria,DZA,1977,0.649559975
Algeria,DZA,1978,0.65854001
Algeria,DZA,1979,0.676590025
Algeria,DZA,1980,0.707819998
Algeria,DZA,1981,0.694880009
Algeria,DZA,1982,0.750079989
Algeria,DZA,1983,0.756690025
Algeria,DZA,1984,0.748399973
Algeria,DZA,1985,0.736919999
Algeria,DZA,1986,0.76752001
Algeria,DZA,1987,0.789870024
Algeria,DZA,1988,0.799709976
Algeria,DZA,1989,0.80783999
Algeria,DZA,1990,0.817260027
Algeria,DZA,1991,0.855669975
Algeria,DZA,1992,0.860870004
Algeria,DZA,1993,0.864440024
Algeria,DZA,1994,0.877590001
Algeria,DZA,1995,0.899439991
Algeria,DZA,1996,0.917540014
Algeria,DZA,1997,0.950389981
Algeria,DZA,1999,0.969110012
Algeria,DZA,2000,0.993749976
Algeria,DZA,2001,0.993120015
Algeria,DZA,2002,0.995019972
Algeria,DZA,2003,0.989440024
Algeria,DZA,2004,1.00406003
Algeria,DZA,2005,0.992009997
Algeria,DZA,2006,0.976599991
Algeria,DZA,2007,1.015310049
Algeria,DZA,2008,0.899999976
Algeria,DZA,2009,1.016149998
Algeria,DZA,2010,0.991760015
Algeria,DZA,2011,0.988740027
Algeria,DZA,2012,0.988870025
Algeria,DZA,2013,0.98913002
Algeria,DZA,2014,1.000229955
Angola,AGO,2008,0.799520016
Angola,AGO,2009,0.804750025
Angola,AGO,2010,0.752449989
Angola,AGO,2011,0.577849984
Antigua and Barbuda,ATG,1975,1.016589999
Antigua and Barbuda,ATG,1976,0.956219971
Antigua and Barbuda,ATG,1992,0.868480027
Antigua and Barbuda,ATG,2008,0.980369985
Antigua and Barbuda,ATG,2009,1.000849962
Antigua and Barbuda,ATG,2010,0.990890026
Antigua and Barbuda,ATG,2011,0.924290001
Antigua and Barbuda,ATG,2014,0.829299986
Arab World,,1970,0.622699976
Arab World,,1971,0.621819973
Arab World,,1972,0.623470008
Arab World,,1973,0.627889991
Arab World,,1974,0.635900021
Arab World,,1975,0.635609984
Arab World,,1976,0.645449996
Arab World,,1977,0.648410022
Arab World,,1978,0.635529995
Arab World,,1979,0.649689972
Arab World,,1980,0.688260019
Arab World,,1981,0.698409975
Arab World,,1982,0.717480004
Arab World,,1983,0.731029987
Arab World,,1984,0.740849972
Arab World,,1985,0.748889983
Arab World,,1986,0.761370003
Arab World,,1987,0.772310019
Arab World,,1988,0.78125
Arab World,,1989,0.786849976
Arab World,,1990,0.795469999
Arab World,,1991,0.806039989
Arab World,,1992,0.813359976
Arab World,,1993,0.819899976
Arab World,,1994,0.828170002
Arab World,,1995,0.83829999
Arab World,,1996,0.848070025
Arab World,,1997,0.85729003
Arab World,,1998,0.866659999
Arab World,,1999,0.877839983
Arab World,,2000,0.883750021
Arab World,,2001,0.888639987
Arab World,,2002,0.90012002
Arab World,,2003,0.900219977
Arab World,,2004,0.905239999
Arab World,,2005,0.899540007
Arab World,,2006,0.909370005
Arab World,,2007,0.911809981
Arab World,,2008,0.902459979
Arab World,,2009,0.91918999
Arab World,,2010,0.920960009
Arab World,,2011,0.929560006
Arab World,,2012,0.93769002
Arab World,,2013,0.945919991
Arab World,,2014,0.944299996
Argentina,ARG,1970,1.094939947
Argentina,ARG,1971,1.089630008
Argentina,ARG,1975,1.083330035
Argentina,ARG,1976,1.079210043
Argentina,ARG,1996,1.03708005
Argentina,ARG,1997,1.046270013
Argentina,ARG,1998,1.036270022
Argentina,ARG,1999,1.012650013
Argentina,ARG,2000,1.008280039
Argentina,ARG,2001,1.011209965
Argentina,ARG,2002,1.011809945
Argentina,ARG,2003,1.008620024
Argentina,ARG,2004,1.007459998
Argentina,ARG,2005,1.006829977
Argentina,ARG,2006,1.002439976
Argentina,ARG,2007,1.002040029
Argentina,ARG,2008,0.998520017
Argentina,ARG,2009,0.99515003
Argentina,ARG,2010,0.990790009
Argentina,ARG,2011,0.994229972
Argentina,ARG,2012,0.991609991
Argentina,ARG,2013,0.989239991
Armenia,ARM,2002,1.019430041
